airport,period,scheduled_departures,peak_hour_departures,mean_dep_delay_minutes,cancellation_share,mean_taxi_out,departures_above_p90,departures_above_p95,p90_hourly_departures,p95_hourly_departures,load
ORD,2023-05-01,21932,74.677,11.575,0.00246,21.265,546.0,155.0,64.0,71.0,1.0518
ORD,2023-06-01,22073,72.567,21.179,0.02098,21.756,468.0,91.0,64.0,71.0,1.0221
ORD,2023-07-01,22796,75.161,26.232,0.03101,23.13,663.0,220.0,64.0,71.0,1.0586
ORD,2023-08-01,23347,76.613,17.274,0.01285,23.007,706.0,202.0,64.0,71.0,1.0791
ORD,2023-09-01,22384,75.1,15.098,0.0063,23.303,559.0,142.0,64.0,71.0,1.0577
ORD,2023-10-01,22812,77.516,10.079,0.00224,22.598,594.0,234.0,64.0,71.0,1.0918
ORD,2023-11-01,20354,84.767,9.495,0.00103,21.883,697.0,428.0,64.0,71.0,1.1939
ORD,2023-12-01,20664,75.677,10.21,0.00194,23.144,406.0,154.0,64.0,71.0,1.0659
ORD,2024-01-01,20321,69.935,25.896,0.06988,25.013,229.0,65.0,64.0,71.0,0.985
ORD,2024-02-01,19553,71.621,9.422,0.00281,21.116,337.0,49.0,64.0,71.0,1.0087
ORD,2024-03-01,22288,76.161,12.372,0.0044,22.103,437.0,180.0,64.0,71.0,1.0727
ORD,2024-04-01,23646,81.8,13.74,0.00359,22.628,1016.0,436.0,64.0,71.0,1.1521
ORD,2024-05-01,24845,82.194,29.706,0.0167,24.969,1273.0,566.0,64.0,71.0,1.1577
ORD,2024-06-01,24207,86.833,24.584,0.01446,24.498,1404.0,800.0,64.0,71.0,1.223
ORD,2024-07-01,24531,83.355,27.426,0.02609,24.697,1055.0,522.0,64.0,71.0,1.174
ORD,2024-08-01,25500,86.129,23.012,0.01384,25.155,1188.0,648.0,64.0,71.0,1.2131
ORD,2024-09-01,24847,85.3,10.948,0.0027,23.689,1224.0,607.0,64.0,71.0,1.2014
ORD,2024-10-01,25211,78.71,9.165,0.00405,23.03,860.0,313.0,64.0,71.0,1.1086
ORD,2024-11-01,22435,72.5,10.95,0.00294,23.878,452.0,107.0,64.0,71.0,1.0211
ORD,2024-12-01,22668,71.839,16.947,0.00591,24.322,509.0,169.0,64.0,71.0,1.0118
PHL,2023-01-01,7015,34.516,12.942,0.0114,18.424,495.0,195.0,24.0,29.0,1.1902
PHL,2023-02-01,6062,32.429,9.81,0.00528,18.437,251.0,106.0,24.0,29.0,1.1182
PHL,2023-03-01,6878,32.323,12.55,0.00785,18.621,264.0,109.0,24.0,29.0,1.1146
PHL,2023-04-01,7254,35.233,15.634,0.01186,19.208,484.0,199.0,24.0,29.0,1.2149
PHL,2023-05-01,7251,32.355,12.87,0.00469,18.347,498.0,136.0,24.0,29.0,1.1157
PHL,2023-06-01,7759,30.7,23.422,0.02668,21.223,395.0,59.0,24.0,29.0,1.0586
PHL,2023-07-01,8309,31.548,28.877,0.03599,23.735,397.0,89.0,24.0,29.0,1.0879
PHL,2023-08-01,8378,30.871,21.058,0.01755,20.516,396.0,79.0,24.0,29.0,1.0645
PHL,2023-09-01,8331,29.5,18.149,0.02149,21.66,378.0,36.0,24.0,29.0,1.0172
PHL,2023-10-01,8449,30.194,12.181,0.00249,18.546,452.0,62.0,24.0,29.0,1.0412
PHL,2023-11-01,7338,32.3,10.249,0.00095,18.236,275.0,111.0,24.0,29.0,1.1138
PHL,2023-12-01,7047,27.129,13.545,0.00298,18.549,128.0,21.0,24.0,29.0,0.9355
PHL,2024-01-01,6943,28.097,20.433,0.02636,22.882,131.0,29.0,24.0,29.0,0.9689
PHL,2024-02-01,6558,27.931,10.676,0.00259,18.863,136.0,10.0,24.0,29.0,0.9631
PHL,2024-03-01,7470,28.677,16.147,0.00736,17.307,193.0,29.0,24.0,29.0,0.9889
PHL,2024-04-01,7893,33.9,14.93,0.00595,19.25,375.0,147.0,24.0,29.0,1.169
PHL,2024-05-01,8740,31.226,19.856,0.00904,20.318,446.0,74.0,24.0,29.0,1.0768
PHL,2024-06-01,9374,35.033,23.838,0.02763,21.218,845.0,297.0,24.0,29.0,1.208
PHL,2024-07-01,9968,36.452,30.864,0.03672,22.77,1090.0,448.0,24.0,29.0,1.257
PHL,2024-08-01,10241,36.516,29.005,0.04863,25.087,1246.0,551.0,24.0,29.0,1.2592
PHL,2024-09-01,9023,36.033,11.563,0.00477,23.054,937.0,472.0,24.0,29.0,1.2425
PHL,2024-10-01,9363,35.419,10.695,0.00951,21.42,782.0,320.0,24.0,29.0,1.2214
PHL,2024-11-01,7598,26.167,10.32,0.00145,18.499,142.0,35.0,24.0,29.0,0.9023
PHL,2024-12-01,7464,27.161,18.397,0.00456,20.878,132.0,6.0,24.0,29.0,0.9366
PHX,2023-01-01,14613,41.032,13.035,0.01163,14.97,251.0,34.4,36.0,41.05,0.9996
PHX,2023-02-01,13700,45.071,13.451,0.0127,16.026,283.0,112.7,36.0,41.05,1.098
PHX,2023-03-01,15557,46.613,16.505,0.00881,15.186,448.0,173.5,36.0,41.05,1.1355
PHX,2023-04-01,14928,45.667,14.187,0.00764,14.569,375.0,138.5,36.0,41.05,1.1125
PHX,2023-05-01,14621,47.806,12.401,0.00308,14.41,459.0,209.5,36.0,41.05,1.1646
PHX,2023-06-01,13355,49.433,16.744,0.00629,14.112,405.0,251.5,36.0,41.05,1.2042
PHX,2023-07-01,14037,49.968,22.359,0.00869,14.159,437.0,284.5,36.0,41.05,1.2172
PHX,2023-08-01,14304,53.968,16.217,0.01307,15.086,557.0,400.5,36.0,41.05,1.3147
PHX,2023-09-01,14285,51.5,11.144,0.00301,15.112,597.0,332.2,36.0,41.05,1.2546
PHX,2023-10-01,15503,49.71,11.483,0.00148,15.498,574.0,292.8,36.0,41.05,1.211
PHX,2023-11-01,15792,48.167,8.537,0.00063,16.02,899.0,374.4,36.0,41.05,1.1734
PHX,2023-12-01,15996,47.0,9.585,0.00219,16.309,815.0,321.9,36.0,41.05,1.1449
PHX,2024-01-01,15378,48.194,14.577,0.02048,15.91,675.0,308.1,36.0,41.05,1.174
PHX,2024-02-01,14823,46.31,9.471,0.00175,16.255,604.0,206.2,36.0,41.05,1.1281
PHX,2024-03-01,17375,47.613,14.704,0.00472,16.683,830.0,305.9,36.0,41.05,1.1599
PHX,2024-04-01,16531,47.267,12.826,0.0026,15.446,871.0,290.6,36.0,41.05,1.1514
PHX,2024-05-01,16741,46.419,17.597,0.00663,15.209,854.0,259.7,36.0,41.05,1.1308
PHX,2024-06-01,15326,49.667,16.462,0.00476,15.66,630.0,289.7,36.0,41.05,1.2099
PHX,2024-07-01,15733,49.194,21.857,0.01608,15.059,660.0,298.2,36.0,41.05,1.1984
PHX,2024-08-01,15416,50.645,14.961,0.00701,15.837,800.0,417.9,36.0,41.05,1.2337
PHX,2024-09-01,15081,50.7,9.567,0.00199,15.743,887.0,449.2,36.0,41.05,1.2351
PHX,2024-10-01,16978,46.419,10.327,0.00247,16.07,912.0,305.5,36.0,41.05,1.1308
PHX,2024-11-01,16827,49.867,9.663,0.00244,15.646,1392.0,683.4,36.0,41.05,1.2148
PHX,2024-12-01,17342,51.871,12.737,0.00311,16.228,1332.0,629.8,36.0,41.05,1.2636
SAN,2023-01-01,6983,21.226,14.264,0.01919,18.911,49.0,6.0,20.0,22.0,0.9648
SAN,2023-02-01,6328,21.357,14.075,0.01106,18.023,50.0,9.0,20.0,22.0,0.9708
SAN,2023-03-01,7374,22.516,14.879,0.00909,19.458,123.0,26.0,20.0,22.0,1.0235
SAN,2023-04-01,7319,23.667,13.574,0.01093,19.279,197.0,76.0,20.0,22.0,1.0758
SAN,2023-05-01,7765,23.032,11.204,0.00644,19.241,179.0,43.0,20.0,22.0,1.0469
SAN,2023-06-01,7841,24.967,16.49,0.0102,18.2,180.0,92.0,20.0,22.0,1.1348
SAN,2023-07-01,8128,25.097,17.447,0.00923,19.329,199.0,102.0,20.0,22.0,1.1408
SAN,2023-08-01,8058,24.774,15.885,0.02854,19.875,171.0,88.0,20.0,22.0,1.1261
SAN,2023-09-01,7612,22.133,10.786,0.00631,18.626,97.0,20.0,20.0,22.0,1.0061
SAN,2023-10-01,8026,23.258,12.504,0.00311,19.592,160.0,48.0,20.0,22.0,1.0572
SAN,2023-11-01,7673,24.433,9.52,0.00365,18.962,221.0,94.0,20.0,22.0,1.1106
SAN,2023-12-01,7848,23.645,8.832,0.00255,18.625,136.0,58.0,20.0,22.0,1.0748
SAN,2024-01-01,7075,20.323,12.458,0.04989,17.622,20.0,2.0,20.0,22.0,0.9238
SAN,2024-02-01,6581,20.483,12.719,0.00684,19.077,26.0,7.0,20.0,22.0,0.931
SAN,2024-03-01,7577,21.323,14.651,0.00633,19.248,53.0,10.0,20.0,22.0,0.9692
SAN,2024-04-01,7585,21.3,14.587,0.00461,19.806,66.0,8.0,20.0,22.0,0.9682
SAN,2024-05-01,7936,22.161,16.62,0.00844,19.849,124.0,22.0,20.0,22.0,1.0073
SAN,2024-06-01,8291,24.367,18.25,0.00736,21.909,294.0,112.0,20.0,22.0,1.1076
SAN,2024-07-01,8721,24.548,20.555,0.01892,22.376,278.0,100.0,20.0,22.0,1.1158
SAN,2024-08-01,8577,23.613,12.466,0.00793,22.467,285.0,89.0,20.0,22.0,1.0733
SAN,2024-09-01,7942,22.733,11.003,0.0029,22.993,165.0,34.0,20.0,22.0,1.0333
SAN,2024-10-01,8377,23.419,16.884,0.01313,25.208,222.0,62.0,20.0,22.0,1.0645
SAN,2024-11-01,7908,24.167,12.28,0.00379,22.358,290.0,114.0,20.0,22.0,1.0985
SAN,2024-12-01,8075,23.871,25.727,0.02551,23.305,213.0,80.0,20.0,22.0,1.085
SEA,2023-01-01,11873,34.903,10.327,0.00792,20.452,10.0,0.0,35.0,39.0,0.895
SEA,2023-02-01,11028,37.5,12.248,0.01913,20.74,114.0,23.0,35.0,39.0,0.9615
SEA,2023-03-01,12781,41.613,11.295,0.00759,19.655,333.0,99.0,35.0,39.0,1.067
SEA,2023-04-01,12820,41.1,10.764,0.01014,20.082,365.0,90.0,35.0,39.0,1.0538
SEA,2023-05-01,13784,40.742,8.852,0.0029,19.952,382.0,71.0,35.0,39.0,1.0447
SEA,2023-06-01,14679,42.933,13.922,0.00695,20.348,401.0,152.0,35.0,39.0,1.1009
SEA,2023-07-01,15666,43.742,15.44,0.006,20.093,495.0,234.0,35.0,39.0,1.1216
SEA,2023-08-01,15974,42.226,11.535,0.00382,20.905,419.0,165.0,35.0,39.0,1.0827
SEA,2023-09-01,15041,41.867,10.618,0.00352,21.305,421.0,131.0,35.0,39.0,1.0735
SEA,2023-10-01,14313,43.677,8.047,0.00105,21.341,345.0,145.0,35.0,39.0,1.1199
SEA,2023-11-01,13117,40.667,10.093,0.0016,21.502,195.0,60.0,35.0,39.0,1.0427
SEA,2023-12-01,12736,36.323,10.317,0.00534,20.583,56.0,5.0,35.0,39.0,0.9313
SEA,2024-01-01,11751,37.387,18.96,0.08212,19.135,90.0,25.0,35.0,39.0,0.9586
SEA,2024-02-01,11102,36.069,8.697,0.00297,19.523,52.0,14.0,35.0,39.0,0.9248
SEA,2024-03-01,12627,38.871,12.278,0.00317,20.122,125.0,40.0,35.0,39.0,0.9967
SEA,2024-04-01,12924,44.533,11.104,0.00193,20.378,305.0,167.0,35.0,39.0,1.1419
SEA,2024-05-01,14338,44.161,13.27,0.00488,21.073,377.0,160.0,35.0,39.0,1.1323
SEA,2024-06-01,15183,43.6,15.496,0.00461,21.816,573.0,189.0,35.0,39.0,1.1179
SEA,2024-07-01,16198,43.871,15.185,0.01679,21.458,647.0,245.0,35.0,39.0,1.1249
SEA,2024-08-01,15984,42.839,14.593,0.00801,22.651,575.0,173.0,35.0,39.0,1.0984
SEA,2024-09-01,14805,43.267,10.331,0.00324,22.914,539.0,182.0,35.0,39.0,1.1094
SEA,2024-10-01,13763,43.452,8.212,0.00385,21.818,370.0,171.0,35.0,39.0,1.1141
SEA,2024-11-01,12453,37.167,8.081,0.00369,21.074,81.0,3.0,35.0,39.0,0.953
SEA,2024-12-01,12596,36.452,12.496,0.005,21.586,68.0,1.0,35.0,39.0,0.9347
SFO,2023-01-01,10276,34.613,18.586,0.02384,20.778,179.0,30.0,31.0,34.0,1.018
SFO,2023-02-01,9713,36.5,13.419,0.01308,19.366,202.0,76.0,31.0,34.0,1.0735
SFO,2023-03-01,11257,38.194,21.407,0.02096,20.035,383.0,167.0,31.0,34.0,1.1233
SFO,2023-04-01,10908,38.3,12.685,0.01008,22.189,287.0,134.0,31.0,34.0,1.1265
SFO,2023-05-01,11880,36.548,13.402,0.00497,22.116,307.0,101.0,31.0,34.0,1.075
SFO,2023-06-01,11736,32.333,17.546,0.01892,20.207,67.0,7.0,31.0,34.0,0.951
SFO,2023-07-01,12201,34.323,17.442,0.0141,19.46,130.0,17.0,31.0,34.0,1.0095
SFO,2023-08-01,12185,33.419,14.169,0.01092,19.6,96.0,4.0,31.0,34.0,0.9829
SFO,2023-09-01,11543,35.433,12.071,0.0065,19.837,321.0,74.0,31.0,34.0,1.0422
SFO,2023-10-01,11784,37.839,10.067,0.00348,18.863,347.0,135.0,31.0,34.0,1.1129
SFO,2023-11-01,11186,35.5,10.273,0.00107,18.925,264.0,65.0,31.0,34.0,1.0441
SFO,2023-12-01,11036,36.452,14.901,0.00245,19.656,286.0,97.0,31.0,34.0,1.0721
SFO,2024-01-01,10133,39.065,16.845,0.05665,19.815,274.0,160.0,31.0,34.0,1.149
SFO,2024-02-01,9632,38.621,22.853,0.01838,21.229,257.0,134.0,31.0,34.0,1.1359
SFO,2024-03-01,10894,36.581,21.026,0.00854,21.072,228.0,82.0,31.0,34.0,1.0759
SFO,2024-04-01,10622,34.267,20.9,0.0081,21.059,158.0,16.0,31.0,34.0,1.0078
SFO,2024-05-01,10974,35.968,19.559,0.00847,19.891,243.0,86.0,31.0,34.0,1.0579
SFO,2024-06-01,10256,31.567,19.444,0.00673,19.402,35.0,0.0,31.0,34.0,0.9284
SFO,2024-07-01,11828,34.613,18.682,0.02384,19.334,181.0,26.0,31.0,34.0,1.018
SFO,2024-08-01,12036,35.032,15.288,0.00897,19.648,244.0,49.0,31.0,34.0,1.0304
SFO,2024-09-01,11767,35.5,11.843,0.00323,20.114,273.0,72.0,31.0,34.0,1.0441
SFO,2024-10-01,12568,35.258,11.314,0.00326,19.32,251.0,58.0,31.0,34.0,1.037
SFO,2024-11-01,12171,34.367,16.652,0.01183,20.236,194.0,43.0,31.0,34.0,1.0108
SFO,2024-12-01,12097,35.581,16.892,0.00727,20.379,224.0,72.0,31.0,34.0,1.0465
SLC,2023-01-01,8944,36.161,15.429,0.00906,22.549,409.0,152.0,27.0,32.05,1.1283
SLC,2023-02-01,8138,37.357,16.803,0.01966,20.025,392.0,162.3,27.0,32.05,1.1656
SLC,2023-03-01,9304,40.387,16.835,0.01139,20.173,541.0,258.5,27.0,32.05,1.2601
SLC,2023-04-01,8791,41.167,12.526,0.01376,18.335,542.0,276.4,27.0,32.05,1.2845
SLC,2023-05-01,9010,39.323,8.674,0.00477,16.73,468.0,226.4,27.0,32.05,1.2269
SLC,2023-06-01,9124,41.967,14.592,0.00921,16.749,517.0,298.5,27.0,32.05,1.3094
SLC,2023-07-01,9648,39.645,16.298,0.01078,16.952,397.0,235.5,27.0,32.05,1.237
SLC,2023-08-01,9621,36.032,12.711,0.00624,16.639,280.0,123.5,27.0,32.05,1.1243
SLC,2023-09-01,9166,42.6,9.81,0.00327,17.067,562.0,320.3,27.0,32.05,1.3292
SLC,2023-10-01,9414,43.161,7.047,0.00106,16.53,616.0,351.3,27.0,32.05,1.3467
SLC,2023-11-01,8816,41.833,6.054,0.00057,18.014,671.0,352.3,27.0,32.05,1.3053
SLC,2023-12-01,9301,42.613,9.136,0.0014,20.914,791.0,403.4,27.0,32.05,1.3296
SLC,2024-01-01,9459,42.032,17.036,0.01089,22.499,869.0,349.4,27.0,32.05,1.3115
SLC,2024-02-01,8723,42.414,9.283,0.00195,19.348,730.0,310.2,27.0,32.05,1.3234
SLC,2024-03-01,9721,44.097,12.545,0.00432,19.014,881.0,422.7,27.0,32.05,1.3759
SLC,2024-04-01,9336,44.1,10.697,0.00161,16.808,803.0,433.0,27.0,32.05,1.376
SLC,2024-05-01,9621,44.032,12.523,0.00405,16.616,726.0,410.7,27.0,32.05,1.3739
SLC,2024-06-01,9610,46.267,16.025,0.00323,16.826,788.0,491.6,27.0,32.05,1.4436
SLC,2024-07-01,9946,47.935,19.909,0.03268,16.977,944.0,608.2,27.0,32.05,1.4956
SLC,2024-08-01,9799,48.71,15.542,0.00592,17.373,868.0,573.7,27.0,32.05,1.5198
SLC,2024-09-01,9281,47.967,9.106,0.0014,17.026,866.0,553.5,27.0,32.05,1.4966
SLC,2024-10-01,9446,45.387,7.665,0.0018,16.482,868.0,483.2,27.0,32.05,1.4161
SLC,2024-11-01,8809,44.8,8.778,0.0025,18.873,752.0,406.9,27.0,32.05,1.3978
SLC,2024-12-01,9496,47.097,13.074,0.00253,20.828,927.0,501.3,27.0,32.05,1.4695
TPA,2023-01-01,6479,23.097,16.143,0.01821,13.808,294.0,143.0,16.0,19.0,1.2156
TPA,2023-02-01,6010,23.214,11.328,0.00932,13.813,281.0,132.0,16.0,19.0,1.2218
TPA,2023-03-01,7353,22.581,18.074,0.01292,14.649,392.0,139.0,16.0,19.0,1.1885
TPA,2023-04-01,7077,23.9,17.899,0.01484,14.183,348.0,163.0,16.0,19.0,1.2579
TPA,2023-05-01,6642,22.839,13.568,0.00482,13.821,248.0,121.0,16.0,19.0,1.202
TPA,2023-06-01,6201,19.5,26.041,0.01597,16.093,129.0,17.0,16.0,19.0,1.0263
TPA,2023-07-01,6441,20.258,25.388,0.01879,15.417,190.0,42.0,16.0,19.0,1.0662
TPA,2023-08-01,6159,23.29,18.509,0.07453,14.611,253.0,133.0,16.0,19.0,1.2258
TPA,2023-09-01,5700,22.167,14.176,0.0086,14.569,196.0,98.0,16.0,19.0,1.1667
TPA,2023-10-01,6607,23.194,10.676,0.00303,14.534,270.0,131.0,16.0,19.0,1.2207
TPA,2023-11-01,6737,23.2,9.166,0.00148,14.127,412.0,172.0,16.0,19.0,1.2211
TPA,2023-12-01,7257,25.613,13.069,0.00331,14.423,522.0,242.0,16.0,19.0,1.348
TPA,2024-01-01,6822,24.387,16.252,0.03137,14.556,452.0,191.0,16.0,19.0,1.2835
TPA,2024-02-01,6571,22.793,9.252,0.00365,14.969,458.0,157.0,16.0,19.0,1.1996
TPA,2024-03-01,8040,22.581,23.737,0.01567,17.94,642.0,200.0,16.0,19.0,1.1885
TPA,2024-04-01,7121,23.4,15.507,0.01306,14.538,473.0,169.0,16.0,19.0,1.2316
TPA,2024-05-01,6846,22.258,24.121,0.01096,15.825,380.0,130.0,16.0,19.0,1.1715
TPA,2024-06-01,6247,24.133,20.935,0.00976,15.226,277.0,157.0,16.0,19.0,1.2702
TPA,2024-07-01,6327,25.387,28.793,0.02655,17.235,302.0,198.0,16.0,19.0,1.3362
TPA,2024-08-01,5902,24.903,21.588,0.04253,15.597,294.0,183.0,16.0,19.0,1.3107
TPA,2024-09-01,5440,23.733,11.248,0.05515,15.114,239.0,143.0,16.0,19.0,1.2491
TPA,2024-10-01,6051,21.935,9.809,0.10478,13.712,315.0,124.0,16.0,19.0,1.1545
TPA,2024-11-01,6347,22.967,9.488,0.00236,14.11,352.0,136.0,16.0,19.0,1.2088
TPA,2024-12-01,6803,21.29,16.433,0.00353,14.649,333.0,107.0,16.0,19.0,1.1205
